trip_id,corporation,route_code,origin,destination,distance_km,hour_of_day,day_of_week,is_peak_hour,weather_condition,traffic_density_index,passenger_occupancy_percent,actual_delay_mins,fuel_consumed_liters
TN-70H-0080,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,12,1,0,Clear,0.48,45,12.5,8.2
TN-SETC-108X-0081,SETC_EXPRESS,SETC-108X,Chennai CMBT,Puducherry Bus Stand,155.0,11,3,0,Fog,0.32,53,8.1,69.5
TN-23C-0082,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,10,2,1,Clear,0.85,104,27.7,8.8
TN-MDU-RMS-0083,TNSTC_MADURAI,MDU-RMS,Madurai Mattuthavani,Rameswaram Temple Stand,172.0,17,5,1,Clear,0.72,125,20.8,85.8
TN-CBE-OOTY-0084,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,8,6,1,Monsoon_Heavy,0.98,107,56.2,51.7
TN-21G-0085,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,21,5,0,Clear,0.21,56,10.7,8.3
TN-MDU-201-0086,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,19,5,1,Clear,0.81,118,30.0,5.7
TN-TRY-SRM-0087,TNSTC_TRICHY,TRY-SRM,Trichy Chatram,Srirangam Temple,9.0,20,3,1,Rain,0.98,122,40.8,7.4
TN-21G-0088,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,13,3,0,Clear,0.54,66,18.7,9.7
TN-70H-0089,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,20,6,1,Clear,0.75,98,22.7,8.1
TN-CBE-101-0090,TNSTC_COIMBATORE,CBE-101,Coimbatore Gandhipuram,Singanallur Bus Stand,9.5,13,4,0,Clear,0.43,42,10.7,6.5
TN-SLM-ERD-0091,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,22,6,0,Clear,0.51,71,18.7,33.3
TN-70H-0092,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,7,2,0,Clear,0.38,45,11.2,7.9
TN-SLM-ERD-0093,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,22,4,0,Clear,0.39,65,11.7,32.5
TN-CBE-101-0094,TNSTC_COIMBATORE,CBE-101,Coimbatore Gandhipuram,Singanallur Bus Stand,9.5,14,2,0,Clear,0.25,42,7.3,6.2
TN-11G-0095,MTC_CHENNAI,11G,K.K. Nagar,Broadway Bus Terminus,12.0,11,1,0,Fog,0.42,67,18.4,7.5
TN-CBE-OOTY-0096,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,8,6,1,Clear,0.78,108,22.0,47.9
TN-TRY-SRM-0097,TNSTC_TRICHY,TRY-SRM,Trichy Chatram,Srirangam Temple,9.0,9,2,1,Clear,0.95,120,28.1,7.5
TN-SETC-902X-0098,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,20,0,1,Clear,0.85,100,26.8,246.6
TN-101A-0099,MTC_CHENNAI,101A,Koyambedu CMBT,Chennai Central Station,14.8,13,6,0,Rain,0.35,34,23.1,8.4
TN-SETC-902X-0100,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,6,1,0,Clear,0.57,49,14.9,227.8
TN-TRY-SRM-0101,TNSTC_TRICHY,TRY-SRM,Trichy Chatram,Srirangam Temple,9.0,18,4,1,Monsoon_Heavy,0.98,99,58.4,6.6
TN-SLM-301-0102,TNSTC_SALEM,SLM-301,Salem New Bus Stand,Yercaud Hill Top,32.0,14,6,0,Monsoon_Heavy,0.85,49,52.6,23.0
TN-23C-0103,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,11,5,0,Clear,0.32,35,8.0,6.5
TN-21G-0104,MTC_CHENNAI,21G,Guindy Station,Broadway Bus Terminus,15.2,10,0,1,Rain,0.92,123,40.8,10.1
TN-CBE-OOTY-0105,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,14,5,0,Rain,0.33,44,27.2,43.2
TN-SETC-902X-0106,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,23,5,0,Clear,0.39,64,10.7,215.7
TN-CBE-101-0107,TNSTC_COIMBATORE,CBE-101,Coimbatore Gandhipuram,Singanallur Bus Stand,9.5,9,0,1,Clear,0.74,104,24.6,7.2
TN-CBE-OOTY-0108,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,19,0,1,Rain,0.98,110,46.9,51.4
TN-SLM-ERD-0109,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,19,0,1,Monsoon_Heavy,0.91,112,55.9,37.4
TN-70H-0110,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,7,1,0,Fog,0.58,66,19.7,7.4
TN-CBE-101-0111,TNSTC_COIMBATORE,CBE-101,Coimbatore Gandhipuram,Singanallur Bus Stand,9.5,23,0,0,Clear,0.41,71,13.3,5.7
TN-SETC-108X-0112,SETC_EXPRESS,SETC-108X,Chennai CMBT,Puducherry Bus Stand,155.0,18,5,1,Rain,0.98,100,41.5,83.3
TN-23C-0113,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,10,2,1,Rain,0.98,103,44.4,8.2
TN-TRY-SRM-0114,TNSTC_TRICHY,TRY-SRM,Trichy Chatram,Srirangam Temple,9.0,6,3,0,Clear,0.34,50,8.2,6.2
TN-TRY-401-0115,TNSTC_TRICHY,TRY-401,Trichy Central Bus Stand,Thanjavur Old Bus Stand,56.0,5,5,0,Monsoon_Heavy,0.61,33,42.0,29.2
TN-SLM-ERD-0116,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,19,6,1,Clear,0.75,120,20.7,35.3
TN-SLM-ERD-0117,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,8,0,1,Fog,0.86,100,29.2,36.5
TN-70H-0118,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,22,3,0,Clear,0.3,37,10.2,6.9
TN-5E-0119,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,20,5,1,Clear,0.83,102,25.6,9.1
TN-SLM-ERD-0120,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,12,3,0,Monsoon_Heavy,0.47,42,44.4,33.0
TN-5E-0121,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,7,2,0,Rain,0.45,62,24.9,7.4
TN-CBE-OOTY-0122,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,23,4,0,Fog,0.42,39,13.6,43.9
TN-CBE-PLK-0123,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,22,6,0,Monsoon_Heavy,0.57,50,46.9,25.2
TN-D70-0124,MTC_CHENNAI,D70,Ambattur OT,Velachery Railway Station,26.0,23,3,0,Clear,0.59,56,15.1,15.8
TN-MDU-RMS-0125,TNSTC_MADURAI,MDU-RMS,Madurai Mattuthavani,Rameswaram Temple Stand,172.0,17,5,1,Fog,0.96,116,34.5,90.6
TN-SETC-108X-0126,SETC_EXPRESS,SETC-108X,Chennai CMBT,Puducherry Bus Stand,155.0,15,6,0,Clear,0.59,58,15.6,75.9
TN-70H-0127,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,9,3,1,Fog,0.95,89,29.7,9.8
TN-CBE-PLK-0128,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,17,5,1,Clear,0.92,128,32.3,26.6
TN-CBE-PLK-0129,TNSTC_COIMBATORE,CBE-PLK,Coimbatore Ukkadam,Pollachi Bus Stand,42.0,20,6,1,Monsoon_Heavy,0.91,89,51.4,27.0
TN-CBE-OOTY-0130,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,12,5,0,Clear,0.4,36,15.8,44.0
TN-23C-0131,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,19,1,1,Fog,0.78,86,20.8,8.5
TN-CBE-OOTY-0132,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,16,2,0,Rain,0.37,63,23.8,43.6
TN-11G-0133,MTC_CHENNAI,11G,K.K. Nagar,Broadway Bus Terminus,12.0,10,1,1,Clear,0.86,109,28.4,8.0
TN-SETC-108X-0134,SETC_EXPRESS,SETC-108X,Chennai CMBT,Puducherry Bus Stand,155.0,9,1,1,Rain,0.97,100,40.4,82.6
TN-SLM-301-0135,TNSTC_SALEM,SLM-301,Salem New Bus Stand,Yercaud Hill Top,32.0,14,5,0,Monsoon_Heavy,0.47,58,44.6,22.1
TN-CBE-OOTY-0136,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,18,5,1,Clear,0.82,104,23.4,49.1
TN-SLM-ERD-0137,TNSTC_SALEM,SLM-ERD,Salem Central Stand,Erode Bus Stand,64.0,8,1,1,Rain,0.95,121,40.2,38.0
TN-70H-0138,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,17,2,1,Clear,0.85,128,29.5,9.6
TN-SETC-801X-0139,SETC_EXPRESS,SETC-801X,Chennai CMBT,Madurai Mattuthavani,460.0,20,6,1,Clear,0.9,99,29.5,230.2
TN-SETC-902X-0140,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,11,4,0,Clear,0.5,72,18.1,223.0
TN-23C-0141,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,6,2,0,Rain,0.32,53,25.2,6.3
TN-CBE-OOTY-0142,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,15,5,0,Rain,0.38,38,27.5,44.0
TN-MDU-201-0143,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,21,4,0,Clear,0.57,46,22.3,6.5
TN-CBE-OOTY-0144,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,15,6,0,Clear,0.41,34,10.6,44.6
TN-MDU-RMS-0145,TNSTC_MADURAI,MDU-RMS,Madurai Mattuthavani,Rameswaram Temple Stand,172.0,22,2,0,Clear,0.56,30,16.2,81.0
TN-MDU-201-0146,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,13,4,0,Rain,0.67,53,30.1,5.5
TN-70H-0147,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,22,2,0,Monsoon_Heavy,0.5,34,42.7,7.9
TN-CBE-OOTY-0148,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,18,0,1,Clear,0.71,87,21.0,47.8
TN-23C-0149,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,12,4,0,Clear,0.37,53,14.1,7.5
TN-TRY-SRM-0150,TNSTC_TRICHY,TRY-SRM,Trichy Chatram,Srirangam Temple,9.0,18,4,1,Fog,0.89,111,29.6,7.2
TN-SETC-801X-0151,SETC_EXPRESS,SETC-801X,Chennai CMBT,Madurai Mattuthavani,460.0,18,2,1,Clear,0.88,98,27.4,230.0
TN-MDU-201-0152,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,8,5,1,Clear,0.84,126,25.4,6.0
TN-570-0153,MTC_CHENNAI,570,Koyambedu CMBT,Siruseri IT Park OMR,34.5,8,6,1,Rain,0.82,98,39.4,21.8
TN-70H-0154,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,6,6,0,Clear,0.31,38,13.4,7.1
TN-TRY-SRM-0155,TNSTC_TRICHY,TRY-SRM,Trichy Chatram,Srirangam Temple,9.0,11,4,0,Clear,0.57,44,17.1,5.5
TN-SETC-801X-0156,SETC_EXPRESS,SETC-801X,Chennai CMBT,Madurai Mattuthavani,460.0,5,2,0,Clear,0.64,64,18.5,214.0
TN-70H-0157,MTC_CHENNAI,70H,SRM Ramapuram,T. Nagar Market,12.5,9,0,1,Clear,0.91,100,29.6,8.1
TN-CBE-101-0158,TNSTC_COIMBATORE,CBE-101,Coimbatore Gandhipuram,Singanallur Bus Stand,9.5,6,1,0,Fog,0.39,37,15.4,6.0
TN-MDU-201-0159,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,21,4,0,Clear,0.4,44,17.5,4.7
TN-TRY-401-0160,TNSTC_TRICHY,TRY-401,Trichy Central Bus Stand,Thanjavur Old Bus Stand,56.0,14,3,0,Fog,0.63,33,24.9,30.2
TN-MDU-KODAI-0161,TNSTC_MADURAI,MDU-KODAI,Madurai Arapalayam,Kodaikanal Bus Stand,115.0,8,3,1,Fog,0.94,89,33.3,69.2
TN-5E-0162,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,7,1,0,Clear,0.48,67,16.3,8.0
TN-SETC-801X-0163,SETC_EXPRESS,SETC-801X,Chennai CMBT,Madurai Mattuthavani,460.0,21,2,0,Rain,0.53,57,25.8,208.2
TN-SETC-902X-0164,SETC_EXPRESS,SETC-902X,Chennai CMBT,Coimbatore Gandhipuram,505.0,22,5,0,Clear,0.39,44,12.4,216.8
TN-MDU-RMS-0165,TNSTC_MADURAI,MDU-RMS,Madurai Mattuthavani,Rameswaram Temple Stand,172.0,18,5,1,Clear,0.78,105,26.4,86.7
TN-5E-0166,MTC_CHENNAI,5E,Besant Nagar,Vadapalani Bus Terminus,13.0,20,0,1,Clear,0.92,90,28.5,9.8
TN-MDU-201-0167,TNSTC_MADURAI,MDU-201,Madurai Mattuthavani,Madurai Periyar Bus Stand,8.2,9,4,1,Clear,0.85,120,27.6,6.5
TN-MDU-KODAI-0168,TNSTC_MADURAI,MDU-KODAI,Madurai Arapalayam,Kodaikanal Bus Stand,115.0,16,6,0,Fog,0.62,57,23.4,64.0
TN-CBE-OOTY-0169,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,14,2,0,Clear,0.46,43,12.2,44.4
TN-23C-0170,MTC_CHENNAI,23C,Adayar Depot,Egmore Railway Station,11.4,16,6,0,Monsoon_Heavy,0.57,47,44.3,8.1
TN-TRY-SRM-0171,TNSTC_TRICHY,TRY-SRM,Trichy Chatram,Srirangam Temple,9.0,22,0,0,Monsoon_Heavy,0.82,74,49.0,6.0
TN-CBE-OOTY-0172,TNSTC_COIMBATORE,CBE-OOTY,Coimbatore New Bus Stand,Ooty Central Bus Stand,86.0,15,2,0,Clear,0.28,39,10.5,41.9
