vehicle_id,bus_number,route_id,current_lat,current_lng,speed_kmh,occupancy_percent,next_stop_id,eta_mins
BUS-090,TN-01-N-1090,R-70V,13.0035,80.2078,38,66,STOP-018,6
BUS-091,TN-01-N-1091,R-570S,13.0561,80.2157,43,53,STOP-031,3
BUS-092,TN-01-N-1092,R-170X,13.0634,80.2346,35,85,STOP-021,15
BUS-093,TN-01-N-1093,R-D51,13.0418,80.2387,31,87,STOP-012,4
BUS-094,TN-01-N-1094,R-27B,13.0843,80.2216,43,37,STOP-032,6
BUS-095,TN-01-N-1095,R-88K,13.0753,80.2292,36,39,STOP-036,10
BUS-096,TN-01-N-1096,R-12B,13.0555,80.2006,32,86,STOP-034,5
BUS-097,TN-01-N-1097,R-A1,13.0056,80.1428,27,27,STOP-019,9
BUS-098,TN-01-N-1098,R-102,13.0783,80.1442,17,73,STOP-007,2
BUS-099,TN-01-N-1099,R-47,13.0333,80.2199,16,48,STOP-024,6
BUS-100,TN-01-N-1100,R-21G,13.0269,80.162,25,20,STOP-003,18
