trip_id,origin_stop_id,dest_stop_id,origin_name,dest_name,passenger_count,transfers_count,preferred_hour
72,STOP-005,STOP-016,Guindy,Chennai Central,112,0,19
73,STOP-005,STOP-016,Guindy,Chennai Central,65,0,8
74,STOP-010,STOP-016,Vadapalani,Chennai Central,35,0,17
75,STOP-014,STOP-013,Porur,Koyambedu CMBT,105,0,17
76,STOP-001,STOP-005,SRM Ramapuram,Guindy,103,0,10
77,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,56,1,18
78,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,106,1,18
79,STOP-014,STOP-013,Porur,Koyambedu CMBT,64,0,9
80,STOP-020,STOP-042,Velachery,Siruseri IT Park,61,0,19
81,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,117,1,17
82,STOP-014,STOP-013,Porur,Koyambedu CMBT,92,0,10
83,STOP-001,STOP-005,SRM Ramapuram,Guindy,110,0,9
84,STOP-005,STOP-016,Guindy,Chennai Central,110,0,9
85,STOP-010,STOP-016,Vadapalani,Chennai Central,60,0,17
86,STOP-021,STOP-005,Tambaram,Guindy,36,0,10
87,STOP-005,STOP-016,Guindy,Chennai Central,73,0,10
88,STOP-010,STOP-016,Vadapalani,Chennai Central,33,0,8
89,STOP-010,STOP-016,Vadapalani,Chennai Central,32,0,17
90,STOP-021,STOP-005,Tambaram,Guindy,48,0,18
91,STOP-020,STOP-042,Velachery,Siruseri IT Park,80,0,18
92,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,68,1,18
93,STOP-010,STOP-016,Vadapalani,Chennai Central,89,0,18
94,STOP-021,STOP-005,Tambaram,Guindy,119,0,10
95,STOP-020,STOP-042,Velachery,Siruseri IT Park,74,0,8
96,STOP-020,STOP-042,Velachery,Siruseri IT Park,45,0,10
97,STOP-021,STOP-005,Tambaram,Guindy,115,0,17
98,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,84,1,19
99,STOP-021,STOP-005,Tambaram,Guindy,22,0,17
100,STOP-010,STOP-016,Vadapalani,Chennai Central,98,0,9
101,STOP-021,STOP-005,Tambaram,Guindy,34,0,8
102,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,55,1,17
103,STOP-014,STOP-013,Porur,Koyambedu CMBT,87,0,17
104,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,52,1,18
105,STOP-005,STOP-016,Guindy,Chennai Central,98,0,9
106,STOP-021,STOP-005,Tambaram,Guindy,19,0,18
107,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,20,1,10
108,STOP-005,STOP-016,Guindy,Chennai Central,48,0,10
109,STOP-005,STOP-016,Guindy,Chennai Central,97,0,18
110,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,91,1,9
111,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,112,1,17
112,STOP-001,STOP-005,SRM Ramapuram,Guindy,40,0,8
113,STOP-001,STOP-005,SRM Ramapuram,Guindy,65,0,8
114,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,17,1,17
115,STOP-005,STOP-016,Guindy,Chennai Central,65,0,19
116,STOP-005,STOP-016,Guindy,Chennai Central,48,0,17
117,STOP-014,STOP-013,Porur,Koyambedu CMBT,18,0,18
118,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,31,1,8
119,STOP-010,STOP-016,Vadapalani,Chennai Central,39,0,18
120,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,101,1,19
121,STOP-020,STOP-042,Velachery,Siruseri IT Park,79,0,18
122,STOP-010,STOP-016,Vadapalani,Chennai Central,75,0,9
123,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,118,1,17
124,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,112,1,10
125,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,94,1,19
126,STOP-021,STOP-005,Tambaram,Guindy,90,0,19
127,STOP-010,STOP-016,Vadapalani,Chennai Central,86,0,8
128,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,21,1,19
129,STOP-021,STOP-005,Tambaram,Guindy,56,0,10
130,STOP-021,STOP-005,Tambaram,Guindy,59,0,19
131,STOP-014,STOP-013,Porur,Koyambedu CMBT,38,0,10
132,STOP-010,STOP-016,Vadapalani,Chennai Central,41,0,9
133,STOP-021,STOP-005,Tambaram,Guindy,35,0,9
134,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,23,1,9
135,STOP-001,STOP-005,SRM Ramapuram,Guindy,20,0,8
136,STOP-021,STOP-005,Tambaram,Guindy,117,0,8
137,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,70,1,8
138,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,97,1,17
139,STOP-005,STOP-016,Guindy,Chennai Central,29,0,18
140,STOP-001,STOP-005,SRM Ramapuram,Guindy,102,0,8
141,STOP-005,STOP-016,Guindy,Chennai Central,20,0,10
142,STOP-021,STOP-005,Tambaram,Guindy,82,0,9
143,STOP-010,STOP-016,Vadapalani,Chennai Central,51,0,9
144,STOP-010,STOP-016,Vadapalani,Chennai Central,117,0,19
145,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,33,1,8
146,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,109,1,10
147,STOP-014,STOP-013,Porur,Koyambedu CMBT,120,0,9
148,STOP-014,STOP-013,Porur,Koyambedu CMBT,59,0,8
149,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,85,1,17
150,STOP-005,STOP-016,Guindy,Chennai Central,62,0,9
151,STOP-010,STOP-016,Vadapalani,Chennai Central,67,0,17
152,STOP-014,STOP-013,Porur,Koyambedu CMBT,106,0,17
153,STOP-010,STOP-016,Vadapalani,Chennai Central,112,0,18
154,STOP-010,STOP-016,Vadapalani,Chennai Central,85,0,17
155,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,24,1,9
156,STOP-005,STOP-016,Guindy,Chennai Central,24,0,19
157,STOP-020,STOP-042,Velachery,Siruseri IT Park,75,0,9
158,STOP-001,STOP-005,SRM Ramapuram,Guindy,120,0,18
159,STOP-010,STOP-016,Vadapalani,Chennai Central,58,0,10
160,STOP-010,STOP-016,Vadapalani,Chennai Central,15,0,9
161,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,72,1,17
162,STOP-001,STOP-005,SRM Ramapuram,Guindy,43,0,8
163,STOP-021,STOP-005,Tambaram,Guindy,22,0,10
164,STOP-021,STOP-005,Tambaram,Guindy,91,0,19
165,STOP-001,STOP-005,SRM Ramapuram,Guindy,95,0,19
166,STOP-021,STOP-005,Tambaram,Guindy,24,0,18
167,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,57,1,9
168,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,77,1,8
169,STOP-005,STOP-016,Guindy,Chennai Central,43,0,17
170,STOP-001,STOP-005,SRM Ramapuram,Guindy,50,0,19
171,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,66,1,8
172,STOP-021,STOP-005,Tambaram,Guindy,19,0,10
173,STOP-005,STOP-016,Guindy,Chennai Central,37,0,19
174,STOP-020,STOP-042,Velachery,Siruseri IT Park,103,0,9
175,STOP-021,STOP-005,Tambaram,Guindy,28,0,19
176,STOP-005,STOP-016,Guindy,Chennai Central,63,0,8
177,STOP-020,STOP-042,Velachery,Siruseri IT Park,119,0,10
178,STOP-020,STOP-042,Velachery,Siruseri IT Park,16,0,18
179,STOP-010,STOP-016,Vadapalani,Chennai Central,79,0,19
180,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,58,1,19
181,STOP-021,STOP-005,Tambaram,Guindy,60,0,10
182,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,30,1,9
183,STOP-010,STOP-016,Vadapalani,Chennai Central,78,0,8
184,STOP-001,STOP-005,SRM Ramapuram,Guindy,64,0,17
185,STOP-014,STOP-013,Porur,Koyambedu CMBT,102,0,19
186,STOP-021,STOP-005,Tambaram,Guindy,64,0,10
187,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,43,1,19
188,STOP-005,STOP-016,Guindy,Chennai Central,99,0,19
189,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,77,1,8
190,STOP-001,STOP-005,SRM Ramapuram,Guindy,120,0,19
191,STOP-010,STOP-016,Vadapalani,Chennai Central,40,0,9
192,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,73,1,19
193,STOP-010,STOP-016,Vadapalani,Chennai Central,49,0,19
194,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,27,1,18
195,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,19,1,9
196,STOP-001,STOP-009,SRM Ramapuram,T. Nagar,118,1,19
197,STOP-014,STOP-013,Porur,Koyambedu CMBT,88,0,9
198,STOP-001,STOP-016,SRM Ramapuram,Chennai Central,107,1,10
199,STOP-001,STOP-005,SRM Ramapuram,Guindy,116,0,8
200,STOP-021,STOP-005,Tambaram,Guindy,66,0,10
